Name,Year,Genre,Run_time,Rating,Meta_score,Director_cast,Votes,Vote_gross
The Imitation Game,(2014),"
Biography, Drama, Thriller            ",114 min,"

8.0
",73        ,"
    Director:
Morten Tyldum
| 
    Stars:
Benedict Cumberbatch, 
Keira Knightley, 
Matthew Goode, 
Allen Leech
","695,145","
Votes:
695,145
| Gross:
$91.13M
"
Guardians of the Galaxy,(2014),"
Action, Adventure, Comedy            ",121 min,"

8.0
",76        ,"
    Director:
James Gunn
| 
    Stars:
Chris Pratt, 
Vin Diesel, 
Bradley Cooper, 
Zoe Saldana
","1,058,178","
Votes:
1,058,178
| Gross:
$333.18M
"
Blade Runner 2049,(2017),"
Action, Drama, Mystery            ",164 min,"

8.0
",81        ,"
    Director:
Denis Villeneuve
| 
    Stars:
Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista
","473,872","
Votes:
473,872
| Gross:
$92.05M
"
Her,(2013),"
Drama, Romance, Sci-Fi            ",126 min,"

8.0
",90        ,"
    Director:
Spike Jonze
| 
    Stars:
Joaquin Phoenix, 
Amy Adams, 
Scarlett Johansson, 
Rooney Mara
","549,754","
Votes:
549,754
| Gross:
$25.57M
"
Bohemian Rhapsody,(2018),"
Biography, Drama, Music            ",134 min,"

8.0
",,"
    Director:
Bryan Singer
| 
    Stars:
Rami Malek, 
Lucy Boynton, 
Gwilym Lee, 
Ben Hardy
","463,350","
Votes:
463,350
| Gross:
$216.43M
"
The Revenant,(2015),"
Action, Adventure, Drama            ",156 min,"

8.0
",76        ,"
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson
","716,966","
Votes:
716,966
| Gross:
$183.64M
"
The Perks of Being a Wallflower,(2012),"
Drama, Romance            ",103 min,"

8.0
",67        ,"
    Director:
Stephen Chbosky
| 
    Stars:
Logan Lerman, 
Emma Watson, 
Ezra Miller, 
Paul Rudd
","468,377","
Votes:
468,377
| Gross:
$17.74M
"
Tropa de Elite 2: O Inimigo Agora é Outro,(2010),"
Action, Crime, Drama            ",115 min,"

8.0
",71        ,"
    Director:
José Padilha
| 
    Stars:
Wagner Moura, 
Irandhir Santos, 
André Ramiro, 
Milhem Cortaz
","79,796","
Votes:
79,796
| Gross:
$0.10M
"
The King's Speech,(2010),"
Biography, Drama, History            ",118 min,"

8.0
",88        ,"
    Director:
Tom Hooper
| 
    Stars:
Colin Firth, 
Geoffrey Rush, 
Helena Bonham Carter, 
Derek Jacobi
","645,669","
Votes:
645,669
| Gross:
$138.80M
"
The Help,(2011),"
Drama            ",146 min,"

8.0
",62        ,"
    Director:
Tate Taylor
| 
    Stars:
Emma Stone, 
Viola Davis, 
Octavia Spencer, 
Bryce Dallas Howard
","432,792","
Votes:
432,792
| Gross:
$169.71M
"
Deadpool,(2016),"
Action, Adventure, Comedy            ",108 min,"

8.0
",65        ,"
    Director:
Tim Miller
| 
    Stars:
Ryan Reynolds, 
Morena Baccarin, 
T.J. Miller, 
Ed Skrein
","916,035","
Votes:
916,035
| Gross:
$363.07M
"
Darbareye Elly,(2009),"
Drama, Mystery            ",119 min,"

8.0
",87        ,"
    Director:
Asghar Farhadi
| 
    Stars:
Golshifteh Farahani, 
Shahab Hosseini, 
Taraneh Alidoosti, 
Merila Zare'i
","46,967","
Votes:
46,967
| Gross:
$0.11M
"
Dev.D,(2009),"
Drama, Romance            ",144 min,"

8.0
",,"
    Director:
Anurag Kashyap
| 
    Stars:
Abhay Deol, 
Mahie Gill, 
Kalki Koechlin, 
Dibyendu Bhattacharya
","28,973","
Votes:
28,973
| Gross:
$0.01M
"
Yip Man,(2008),"
Action, Biography, Drama            ",106 min,"

8.0
",,"
    Director:
Wilson Yip
| 
    Stars:
Donnie Yen, 
Simon Yam, 
Siu-Wong Fan, 
Ka Tung Lam
","212,928","
Votes:
212,928
"
My Name Is Khan,(2010),"
Drama            ",165 min,"

8.0
",,"
    Director:
Karan Johar
| 
    Stars:
Shah Rukh Khan, 
Kajol, 
Sheetal Menon, 
Katie A. Keane
","99,444","
Votes:
99,444
| Gross:
$4.02M
"
Nefes: Vatan Sagolsun,(2009),"
Action, Drama, Thriller            ",128 min,"

8.0
",,"
    Directors:
Levent Semerci, 
Erdem Can
| 
    Stars:
Mete Horozoglu, 
Ilker Kizmaz, 
Baris Bagci, 
Özgür Eren Koç
","32,112","
Votes:
32,112
"
Slumdog Millionaire,(2008),"
Drama, Romance            ",120 min,"

8.0
",84        ,"
    Directors:
Danny Boyle, 
Loveleen Tandan
| 
    Stars:
Dev Patel, 
Freida Pinto, 
Saurabh Shukla, 
Anil Kapoor
","805,269","
Votes:
805,269
| Gross:
$141.32M
"
Black Swan,(2010),"
Drama, Thriller            ",108 min,"

8.0
",79        ,"
    Director:
Darren Aronofsky
| 
    Stars:
Natalie Portman, 
Mila Kunis, 
Vincent Cassel, 
Winona Ryder
","707,172","
Votes:
707,172
| Gross:
$106.95M
"
Tropa de Elite,(2007),"
Action, Crime, Drama            ",115 min,"

8.0
",,"
    Director:
José Padilha
| 
    Stars:
Wagner Moura, 
André Ramiro, 
Caio Junqueira, 
Milhem Cortaz
","98,945","
Votes:
98,945
| Gross:
$0.01M
"
The Avengers,(2012),"
Action, Adventure, Sci-Fi            ",143 min,"

8.0
",69        ,"
    Director:
Joss Whedon
| 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Scarlett Johansson, 
Jeremy Renner
","1,275,825","
Votes:
1,275,825
| Gross:
$623.28M
"
Persepolis,(2007),"
Animation, Biography, Drama            ",96 min,"

8.0
",90        ,"
    Directors:
Vincent Paronnaud, 
Marjane Satrapi
| 
    Stars:
Chiara Mastroianni, 
Catherine Deneuve, 
Gena Rowlands, 
Danielle Darrieux
","89,521","
Votes:
89,521
| Gross:
$4.45M
"
Dallas Buyers Club,(2013),"
Biography, Drama            ",117 min,"

8.0
",80        ,"
    Director:
Jean-Marc Vallée
| 
    Stars:
Matthew McConaughey, 
Jennifer Garner, 
Jared Leto, 
Steve Zahn
","448,396","
Votes:
448,396
| Gross:
$27.30M
"
The Pursuit of Happyness,(2006),"
Biography, Drama            ",117 min,"

8.0
",64        ,"
    Director:
Gabriele Muccino
| 
    Stars:
Will Smith, 
Thandiwe Newton, 
Jaden Smith, 
Brian Howe
","455,692","
Votes:
455,692
| Gross:
$163.57M
"
Blood Diamond,(2006),"
Adventure, Drama, Thriller            ",143 min,"

8.0
",64        ,"
    Director:
Edward Zwick
| 
    Stars:
Leonardo DiCaprio, 
Djimon Hounsou, 
Jennifer Connelly, 
Kagiso Kuypers
","504,955","
Votes:
504,955
| Gross:
$57.37M
"
The Bourne Ultimatum,(2007),"
Action, Mystery, Thriller            ",115 min,"

8.0
",85        ,"
    Director:
Paul Greengrass
| 
    Stars:
Matt Damon, 
Edgar Ramírez, 
Joan Allen, 
Julia Stiles
","608,030","
Votes:
608,030
| Gross:
$227.47M
"
Bin-jip,(2004),"
Crime, Drama, Romance            ",88 min,"

8.0
",72        ,"
    Director:
Kim Ki-duk
| 
    Stars:
Seung-Yun Lee, 
Hee Jae, 
Hyuk-ho Kwon, 
Jin-mo Joo
","51,393","
Votes:
51,393
| Gross:
$0.24M
"
Sin City,(2005),"
Crime, Thriller            ",124 min,"

8.0
",74        ,"
    Directors:
Frank Miller, 
Quentin Tarantino, 
Robert Rodriguez
| 
    Stars:
Mickey Rourke, 
Clive Owen, 
Bruce Willis, 
Jessica Alba
","741,342","
Votes:
741,342
| Gross:
$74.10M
"
Le scaphandre et le papillon,(2007),"
Biography, Drama            ",112 min,"

8.0
",92        ,"
    Directors:
Julian Schnabel, 
Laura Obiols
| 
    Stars:
Mathieu Amalric, 
Emmanuelle Seigner, 
Marie-Josée Croze, 
Anne Consigny
","103,918","
Votes:
103,918
| Gross:
$5.99M
"
G.O.R.A.,(2004),"
Adventure, Comedy, Sci-Fi            ",127 min,"

8.0
",,"
    Director:
Ömer Faruk Sorak
| 
    Stars:
Cem Yilmaz, 
Özge Özberk, 
Ozan Güven, 
Safak Sezer
","57,875","
Votes:
57,875
"
